SMILES,Label
CN1CCN(CC1)c1nc(nc2c1cccc2)c1ccccc1O,0
COC(=O)C(Oc1ccc2c(c1)O/C(=C\c1ccco1)/C2=O)C,1
CCN(C(=O)CN1C(=O)NC(C1=O)(CC)c1ccc(cc1)F)Cc1ccccc1,0
COc1cc2nc(N)c(cc2cc1OC)C(=O)N,1
CCSc1nncn1/N=C/c1ccc(c(c1)OC)OC,0
Cc1cc([N+](=O)[O-])c(cc1c1ccc(o1)/C=N/n1cnnc1)C,0
Nc1ccc2c(c1)C(=O)c1c2cc(c(c1)N)Cl,0
CC(CN(Cc1c(O)ccc2c1cccc2)CC(C)C)C,0
Clc1ccc(cc1)c1nn2c(c1)nc(cc2NCCCn1cncc1)C,0
CC(c1ccc(cc1)c1n[nH]c(=S)n1CCCN1CCOCC1)(C)C,1
NCCCCCc1nnn(c1)CC(=O)NCCCCCCCCCCC(=O)N1CCN(CC1)c1nc(nc(n1)NCCOCCOCCOCC#C)N1CCN(CC1)C(=O)CCCCCCCCCCNC(=O)Cn1nnc(c1)CCCCCN,1
O=C(N1CCc2c(C1c1ccccn1)[nH]c1c2cccc1)Cc1cscc1,1
O=C(Cn1nc(C)n2c(c1=O)cc(n2)c1ccccc1)NCCCN1CCC(CC1)N1CCCCC1,0
CCCCCCCCCCOC(=O)Cn1c(COc2ccc(cc2)Cl)[n+](c2c1cccc2)C,1
COc1ccc(cc1)c1nnc(n1CC(=C)C)SCC(=O)O,0
COc1ccc(cc1)c1nc(Nc2ccc(cc2)N2CCOCC2)cc(n1)C,0
Cc1ccc(cc1)c1c(nnn1c1nonc1N)C(=O)N/N=C/c1ccc2c(c1)OCO2,0
N#Cc1cc2ccc(cc2nc1N1CCN(CC1)C(=O)c1ccccc1C)OC,0
N#Cc1cc(NCC2CCCO2)c(cc1C#N)[N+](=O)[O-],0
N#Cc1cc2cc(C)ccc2nc1NCCNC(=O)c1ccccc1,1
CC(=O)Nc1cc(ccc1Sc1ccc(cc1)Cl)C(=O)N(Cc1ccco1)C,0
Cc1nc(Nc2ccc(cc2)N2CCOCC2)nc(c1)Nc1ccc2c(c1)OCO2,0
CCOc1ccccc1n1c(SCC(=O)NC(CC)C)nnc1c1ccoc1C,1
N#C/C(=C\c1cc(OC)c(c(c1)OC)OC)/C(=O)Nc1cccc2c1cccn2,0
COCCOC(=O)C(c1nc2ccccc2nc1N(CC=C)CC=C)C#N,1
CNCC(=O)Nc1ccc2c(c1)c1ccccc1n2CC,0
Cc1ccc(cc1)S(=O)(=O)NCCN(S(=O)(=O)C)CCNS(=O)(=O)c1ccc(cc1)C,0
CC(c1ccccc1)NC(=O)/C(=C/c1ccc(cc1)N1CCOCC1)/C#N,1
N#Cc1cc2ccc(c(c2nc1NCCNC(=O)C1CC1)C)C,1
OCc1ccc(cc1)CO[C@@H]1OC(=C[C@@H](C1)c1ccccc1)C(=O)N1CCN(CC1)Cc1ccccc1,0
N#Cc1cc2ccc(cc2nc1N1CCCN(CC1)S(=O)(=O)c1ccc(cc1)C)C,1
Fc1cc(F)c2c(c1)sc(n2)NC(=O)c1ccc(o1)[N+](=O)[O-],0
Nc1nnc2n1c1ccccc1nc2C(F)(F)F,0
S=C(NC1CCCc2c1cccc2)NC1CC1,0
O=C(Nc1ccc(c(c1)S(=O)(=O)N1CCOCC1)C)/C=C/c1ccc2c(c1)OCO2,1
CN1CC2=Cc3ccccc3OC32C(=Cc2c(O3)cccc2)C1,0
O=C(COc1ccc2c(c1)oc(=O)c(c2C)C)NCCCn1cncc1,0
CCC(=O)NC(=S)NNC(=O)c1ccc(cc1)NC(=O)c1ccccc1,0
Oc1cc2c(=O)oc3c4c2c(c1O)oc(=O)c4cc(c3O)O,1
CN1CCN(CC1)C(=O)/C(=C/c1cccs1)/NC(=O)c1cccs1,0
Clc1ccc(cc1)C(=O)Nc1ccnc(n1)c1ccncc1,0
Cc1noc(c1S(=O)(=O)N(Cc1ccccc1)CCc1ccccc1)C,1
NC(=O)C1CCCN(C1)CCCNCc1cn[nH]c1c1ccc(cc1)c1ccccc1,0
CSC[C@@H](C(=O)O)NC(=O)COc1cc2OC(C)(C)CCc2c2c1c(C)c(c(=O)o2)C,1
C#CCOCCOCCOCCNc1nc(nc(n1)N1CCN(CC1)C(=O)CCCCCCCCCCNC(=O)[C@H](n1nnc(c1)C)[C@@H](O)C)N1CCN(CC1)C(=O)CCCCCCCCCCNC(=O)[C@@H](n1nnc(c1)C)CCCCN,0
CCCCn1c2ccccc2c2c1nc(SCCN1CCCCC1)nn2,0
COc1ccc2c(c1)c1nnc(nc1n2C)SC(C)C,1
COc1cc(CCNc2nc3ccccc3n3c2nnn3)ccc1OC,1
N#Cc1c(N)n(c2c1nc1ccccc1n2)CCNC(=O)c1ccc(cc1)Cl,1
CC(=O)[C@H]1[C@@H](NC(=O)N([C@@H]1C)Cc1ccccc1)c1cccc(c1)C(F)(F)F,0
ClC(C(c1ccc(cc1)Cl)c1ccc(cc1)Cl)Cl,1
CN(CCCn1c(=O)c2cccc3c2c(c1=O)ccc3Br)C,0
O=C(c1cccs1)Nc1nonc1NC(=O)c1cccs1,0
Fc1ccc(cc1)c1ccc(o1)/C=N/n1cnnc1,0
COc1cc(OC)cc(c1)C(=O)Nc1sc2c(c1C(=O)N)CCC2,0
OCC[C@H]1NCc2c1cnc(c2)C(=O)OCC,0
COC(=O)c1cccnc1NC(=S)NNC(=O)c1ccccc1,0
OCCN1CCN(CC1)c1cc(N2CCN(CC2)C(=O)c2ccco2)c2c3c1noc3c1c(C2=O)cccc1,0
O=C(COc1ccc(cc1)Cl)NCCCn1cncc1,1
COc1ccc(cc1OC)C1=Nn2c(SC1)nnc2c1ccco1,0
Clc1ccc(c(c1)N1C(=O)CC(C1=O)Sc1ncccn1)C,0
CCc1cc(=O)oc2c1ccc(c2C)OCC(=O)NCCCn1cncc1,0
Clc1ccc(cc1)S(=O)(=O)NCCc1cn2c(n1)nc(c(n2)C)C,1
O=C(c1cccn2c1nc1ccsc1c2=O)NCc1cccnc1,0
COc1ccc(cc1)C(=O)Nc1ccc(cc1)N1CCN(CC1)C,0
OC[C@@H](c1nnn(c1)[C@H](C(=O)N1CCNCC1)Cc1cc2c([nH]1)cccc2)N,0
CCc1cc(=O)oc2c1c(OCC(=O)NCc1ccncc1)cc(c2)C,0
O=Cc1ccc2c(c1)c(on2)c1ccc(cc1)C,0
Cc1ccccc1Nc1c(nc2n1cccc2)c1ccccn1,1
N#Cc1c(C)cc(n2c1nc1c2cccc1)Cl,0
CCCCCCOc1ccc(cc1[N+](=O)[O-])/C(=N/NC1=NCCN1)/C,0
CN1CCN(CC1)S(=O)(=O)c1ccc(cc1)NC(=S)NC(=O)c1ccc(cc1)C,0
COc1ccc2c(c1)CC(CO2)C(=O)Nc1ccc(cc1OCCN(Cc1ccccc1)Cc1ccccc1)c1cn[nH]c1,0
