SMILES	SMARTS
O=IC1:C:C:C:C:C:1	[#6]1(:[#6]:[#6]:[#6]:[#6]:[#6]:1)-[#53]=[#8]
CC1=S=NOC1=O	[#6]1(=[#8])-[#6](=[#16]=[#7]-[#8]-1)-[#6]
O=C1:C(Cl):N:S:N:C:1N1CCN(C2:N:S:N:C(Cl):C:2=O)CC1	[#6]1(:[#7]:[#16]:[#7]:[#6](-[#17]):[#6]:1=[#8])-[#7]1-[#6]-[#6]-[#7](-[#6]2:[#7]:[#16]:[#7]:[#6](-[#17]):[#6]:2=[#8])-[#6]-[#6]-1
NNC1:C:C:C:C2:C:C:C:N:C:1:2	[#6]12:[#7]:[#6]:[#6]:[#6]:[#6]:1:[#6]:[#6]:[#6]:[#6]:2-[#7]-[#7]
OC1:C:C:C:C2:C:C:C:N:C:1:2	[#6]12:[#6]:[#6]:[#6]:[#7]:[#6]:1:[#6](:[#6]:[#6]:[#6]:2)-[#8]
NC1:C2:C:C:C:C:C:2:N:C2:C:C:C:C:C:1:2	[#6]12:[#6]:[#6]:[#6]:[#6]:[#6]:1:[#6](:[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1:[#7]:2)-[#7]
O=C(O)C1:C:C:C2:C(:C:1)[CH+]CN2	[#6]1(:[#6]:[#6]2:[#6](-[#7]-[#6]-[#6H+]-2):[#6]:[#6]:1)-[#6](=[#8])-[#8]
CSC1=NCCS1	[#6]1(=[#7]-[#6]-[#6]-[#16]-1)-[#16]-[#6]
COC(CBr)OC	[#6](-[#35])-[#6](-[#8]-[#6])-[#8]-[#6]
N#CN=C1SCCS1	[#6]1(=[#7]-[#6]#[#7])-[#16]-[#6]-[#6]-[#16]-1
CC(=O)OCC(COC(C)=O)OC(C)=O	[#6](-[#6](-[#6]-[#8]-[#6](-[#6])=[#8])-[#8]-[#6](-[#6])=[#8])-[#8]-[#6](-[#6])=[#8]
CCC#COCC	[#6](#[#6]-[#6]-[#6])-[#8]-[#6]-[#6]
C#CCNCC#C	[#7](-[#6]-[#6]#[#6])-[#6]-[#6]#[#6]
CC(C)(C)C(=O)Cl	[#6](-[#6])(-[#6])(-[#6])-[#6](=[#8])-[#17]
CC(=O)ON=C(C)C	[#6](=[#7]-[#8]-[#6](-[#6])=[#8])(-[#6])-[#6]
O=C1NC(=O)C2:C:C(Br):C:C:C:21	[#6]12:[#6](-[#6](=[#8])-[#7]-[#6]-1=[#8]):[#6]:[#6]:[#6](:[#6]:2)-[#35]
